,0,1,2,3,4,5,6,7,8,9
0,MEN_Denim_id_0000008001_1_front.jpg,MEN_Denim_id_0000721601_1_front.jpg,MEN_Denim_id_0000566301_1_front.jpg,MEN_Denim_id_0000588703_1_front.jpg,MEN_Denim_id_0000635901_1_front.jpg,MEN_Denim_id_0000537801_1_front.jpg,MEN_Denim_id_0000325201_7_additional.jpg,MEN_Pants_id_0000109202_1_front.jpg,MEN_Denim_id_0000018201_1_front.jpg,MEN_Denim_id_0000334101_1_front.jpg
1,MEN_Denim_id_0000008001_2_side.jpg,MEN_Pants_id_0000167501_2_side.jpg,MEN_Denim_id_0000721601_2_side.jpg,MEN_Denim_id_0000588701_2_side.jpg,MEN_Denim_id_0000560801_2_side.jpg,MEN_Denim_id_0000646501_2_side.jpg,MEN_Denim_id_0000008903_2_side.jpg,MEN_Denim_id_0000018201_2_side.jpg,MEN_Denim_id_0000325201_2_side.jpg,MEN_Pants_id_0000110403_2_side.jpg
2,MEN_Denim_id_0000008001_3_back.jpg,MEN_Denim_id_0000721601_3_back.jpg,MEN_Denim_id_0000008901_3_back.jpg,MEN_Denim_id_0000588701_3_back.jpg,MEN_Denim_id_0000325201_7_additional.jpg,MEN_Pants_id_0000109202_1_front.jpg,MEN_Denim_id_0000721601_1_front.jpg,MEN_Denim_id_0000008001_1_front.jpg,MEN_Denim_id_0000537801_1_front.jpg,MEN_Denim_id_0000646501_3_back.jpg
3,MEN_Denim_id_0000008001_7_additional.jpg,MEN_Denim_id_0000588701_7_additional.jpg,MEN_Denim_id_0000721601_7_additional.jpg,MEN_Denim_id_0000325201_1_front.jpg,MEN_Denim_id_0000760701_1_front.jpg,MEN_Denim_id_0000537801_7_additional.jpg,MEN_Denim_id_0000334101_7_additional.jpg,MEN_Denim_id_0000008903_7_additional.jpg,MEN_Pants_id_0000135101_7_additional.jpg,MEN_Pants_id_0000176301_1_front.jpg
4,MEN_Denim_id_0000008901_1_front.jpg,MEN_Denim_id_0000018201_1_front.jpg,MEN_Denim_id_0000334101_1_front.jpg,MEN_Denim_id_0000008901_3_back.jpg,MEN_Denim_id_0000325201_7_additional.jpg,MEN_Denim_id_0000008903_1_front.jpg,MEN_Pants_id_0000109202_1_front.jpg,MEN_Denim_id_0000520801_1_front.jpg,MEN_Denim_id_0000537801_1_front.jpg,MEN_Denim_id_0000695901_7_additional.jpg
5,MEN_Denim_id_0000008901_2_side.jpg,MEN_Denim_id_0000695901_2_side.jpg,MEN_Denim_id_0000018201_2_side.jpg,MEN_Denim_id_0000520801_2_side.jpg,MEN_Denim_id_0000640701_2_side.jpg,MEN_Denim_id_0000051601_2_side.jpg,MEN_Pants_id_0000047003_1_front.jpg,MEN_Pants_id_0000110403_2_side.jpg,MEN_Denim_id_0000524101_3_back.jpg,MEN_Denim_id_0000008945_2_side.jpg
6,MEN_Denim_id_0000008901_3_back.jpg,MEN_Denim_id_0000018201_1_front.jpg,MEN_Denim_id_0000721601_3_back.jpg,MEN_Denim_id_0000031301_3_back.jpg,MEN_Denim_id_0000051601_3_back.jpg,MEN_Denim_id_0000008946_3_back.jpg,MEN_Denim_id_0000520801_3_back.jpg,MEN_Pants_id_0000200607_3_back.jpg,MEN_Denim_id_0000008001_3_back.jpg,MEN_Denim_id_0000635901_3_back.jpg
7,MEN_Denim_id_0000008901_7_additional.jpg,MEN_Denim_id_0000018201_7_additional.jpg,MEN_Denim_id_0000480701_7_additional.jpg,MEN_Pants_id_0000110403_7_additional.jpg,MEN_Pants_id_0000011406_1_front.jpg,MEN_Denim_id_0000031301_1_front.jpg,MEN_Pants_id_0000249304_7_additional.jpg,MEN_Pants_id_0000011401_1_front.jpg,MEN_Pants_id_0000011407_1_front.jpg,MEN_Denim_id_0000008944_7_additional.jpg
8,MEN_Denim_id_0000008902_1_front.jpg,MEN_Denim_id_0000008902_3_back.jpg,MEN_Denim_id_0000008903_1_front.jpg,MEN_Denim_id_0000008903_3_back.jpg,MEN_Denim_id_0000610601_1_front.jpg,MEN_Denim_id_0000008904_3_back.jpg,MEN_Pants_id_0000027301_3_back.jpg,MEN_Denim_id_0000119802_1_front.jpg,MEN_Denim_id_0000093802_3_back.jpg,MEN_Denim_id_0000008904_1_front.jpg
9,MEN_Denim_id_0000008902_2_side.jpg,MEN_Denim_id_0000008903_2_side.jpg,MEN_Denim_id_0000119803_2_side.jpg,MEN_Denim_id_0000008904_2_side.jpg,MEN_Denim_id_0000757001_2_side.jpg,MEN_Pants_id_0000011403_2_side.jpg,MEN_Denim_id_0000119802_2_side.jpg,MEN_Denim_id_0000582601_2_side.jpg,MEN_Pants_id_0000249302_2_side.jpg,MEN_Denim_id_0000008945_2_side.jpg
